SamAccountName,Name,GivenName,SurName,Title,Company,Department,EmailAddress,Path
K.Huang,Kevin Huang,Kevin,Huang,Junior Generalist,The Four Horseman Corp,Human Resources,K.Huang@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
A.Morris,Alexander Morris,Alexander,Morris,Junior Generalist,The Four Horseman Corp,Human Resources,A.Morris@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
T.Barr,Timothy Barr,Timothy ,Barr,Senior Procurement Specialist,The Four Horseman Corp,Procurement,T.Barr@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
D.Gomez,David Gomez,David ,Gomez,Senior Procurement Specialist,The Four Horseman Corp,Procurement,D.Gomez@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
R.Schultz,Robert Schultz,Robert ,Schultz,Procurement Specialist,The Four Horseman Corp,Procurement,R.Schultz@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
L.Everett,Laura Everett,Laura ,Everett,Procurement Specialist,The Four Horseman Corp,Procurement,L.Everett@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
S.Carlson,Sherry Carlson,Sherry ,Carlson,Procurement Specialist,The Four Horseman Corp,Procurement,S.Carlson@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
A.Roberts,Austin Roberts,Austin ,Roberts,Procurement Specialist,The Four Horseman Corp,Procurement,A.Roberts@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
J.Sullivan,Jason Sullivan,Jason ,Sullivan,Junior Procurement Specialist,The Four Horseman Corp,Procurement,J.Sullivan@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
D.Roberts,David Roberts,David ,Roberts,Finance Officer,The Four Horseman Corp,Finance,D.Roberts@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
J.Williams,Jasmine Williams,Jasmine,Williams,Finance Officer,The Four Horseman Corp,Finance,J.Williams@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
M.Rocha,Michael Rocha,Michael ,Rocha,Finance Officer,The Four Horseman Corp,Finance,M.Rocha@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
M.Bowers,Michael Bowers,Michael ,Bowers,Finance Officer,The Four Horseman Corp,Finance,M.Bowers@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
P.Gray,Patricia Gray,Patricia ,Gray,Finance Specialist,The Four Horseman Corp,Finance,P.Gray@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
A.Robbins,April Robbins ,April ,Robbins ,Finance Specialist,The Four Horseman Corp,Finance,A.Robbins@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
D.Rodgers,Daniel Rodgers,Daniel ,Rodgers,Finance Specialist,The Four Horseman Corp,Finance,D.Rodgers@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
